"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"139","240036_2022-09-05","3.8",3.8,FALSE,"",3.8,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"83.9",83.9,FALSE,"",83.9,"<0.05",0.05,TRUE,"",-1,"240036",2022-09-05 01:06:00,"City of Billings",45.76734,-108.5153,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"140","252439_2022-10-03","6.72",6.72,FALSE,"",6.72,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"44",44,FALSE,"",44,"0.24",0.24,FALSE,"",0.24,"252439",2022-10-03 14:20:00,"City of Billings",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"141","252439_2023-02-07","8.16",8.16,FALSE,"",8.16,"<0.05",0.05,TRUE,"",-1,"8.16",8.16,FALSE,"",8.16,"46.21",46.21,FALSE,"",46.21,"0.28",0.28,FALSE,"",0.28,"252439",2023-02-07 10:44:00,"City of Billings",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"142","252439_2023-04-10","8.920",8.92,FALSE,"",8.92,"<0.050 U",0.05,TRUE," U",-1,"8.150",8.15,FALSE,"",8.15,"49.070",49.07,FALSE,"",49.07,"434.000",0.434,FALSE,"",434,"252439",2023-04-10 16:45:00,"MBMG",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"143","252439_2023-06-09","10.2",10.2,FALSE,"",10.2,"<0.01",0.01,TRUE,"",-1,"10.2",10.2,FALSE,"",10.2,"49",49,FALSE,"",49,"0.4",0.4,FALSE,"",0.4,"252439",2023-06-09 10:40:00,"Energy Labs",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"144","252439_2023-08-03","8.25",8.25,FALSE,"",8.25,"0.01",0.01,FALSE,"",0.01,"8.3",8.3,FALSE,"",8.3,"41",41,FALSE,"",41,"0.3",0.3,FALSE,"",0.3,"252439",2023-08-03,"Energy Labs",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"145","252439_2023-08-30","6.790",6.79,FALSE,"",6.79,"<0.050 U",0.05,TRUE," U",-1,"6.920",6.92,FALSE,"",6.92,"42.460",42.46,FALSE,"",42.46,"304.000",0.304,FALSE,"",304,"252439",2023-08-30 07:00:00,"MBMG",45.75534,-108.68933,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"146","252457_2022-10-03","9.74",9.74,FALSE,"",9.74,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"42.8",42.8,FALSE,"",42.8,"0.23",0.23,FALSE,"",0.23,"252457",2022-10-03 13:19:00,"City of Billings",45.75878,-108.65837,"WELL","","Quaternary","khaki3",22,"black",2
"147","252457_2023-01-04","10.15",10.15,FALSE,"",10.15,"<0.05",0.05,TRUE,"",-1,"10.15",10.15,FALSE,"",10.15,"42.4",42.4,FALSE,"",42.4,"0.25",0.25,FALSE,"",0.25,"252457",2023-01-04 12:02:00,"City of Billings",45.75878,-108.65837,"WELL","","Quaternary","khaki3",22,"black",2
"148","252457_2023-03-02","10.2",10.2,FALSE,"",10.2,"<0.01",0.01,TRUE,"",-1,"10.2",10.2,FALSE,"",10.2,"39",39,FALSE,"",39,"0.2",0.2,FALSE,"",0.2,"252457",2023-03-02 11:18:00,"Energy Labs",45.75878,-108.65837,"WELL","","Quaternary","khaki3",22,"black",2
